,config_file,weighting_scheme,alpha,fine_tune_epoch,reconstruct_loss,reconstruction_layer,weight_scale,use_down_scale,use_upscale,multi_profile,multi_profile_aggr_scheme,scale_guide_loss,user_profile_embeddings_files,seed,val_NDCG@10,val_Recall@10,val_epoch,test_NDCG@10,test_Recall@10,test_epoch,params,all_seeds
2,mean-0.2-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-42.yaml,mean,0.2,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,42,0.02335,0.04593,18,0.01097,0.02235,18,"('mean', 0.2, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
15,mean-0.5-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-1.yaml,mean,0.5,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,1,0.02329,0.04638,18,0.01052,0.02229,18,"('mean', 0.5, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
8,mean-0.3-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-42.yaml,mean,0.3,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,42,0.02316,0.04445,19,0.01154,0.0236,19,"('mean', 0.3, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
19,mean-0.7-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-256.yaml,mean,0.7,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,256,0.02316,0.04608,19,0.0103,0.0211,19,"('mean', 0.7, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
13,mean-0.8-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-256.yaml,mean,0.8,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,256,0.02315,0.04489,17,0.00991,0.02021,17,"('mean', 0.8, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
9,mean-0.6-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-1.yaml,mean,0.6,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,1,0.02312,0.04489,21,0.01086,0.02294,21,"('mean', 0.6, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
16,mean-0.5-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-256.yaml,mean,0.5,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,256,0.02312,0.04608,18,0.01071,0.02199,18,"('mean', 0.5, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
18,mean-0.7-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-1.yaml,mean,0.7,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,1,0.02297,0.04489,21,0.01116,0.02324,21,"('mean', 0.7, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
11,mean-0.6-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-42.yaml,mean,0.6,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,42,0.02275,0.04415,17,0.01082,0.02193,17,"('mean', 0.6, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
17,mean-0.5-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-42.yaml,mean,0.5,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,42,0.02237,0.044,16,0.01052,0.02122,16,"('mean', 0.5, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
14,mean-0.8-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-42.yaml,mean,0.8,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,42,0.02217,0.044,18,0.01091,0.02253,18,"('mean', 0.8, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
